,CISS,Correlation_Effect,Money_Market_Contribution,Bond_Market_Contribution,Equity_Market_Contribution,FX_Market_Contribution,Financial_Intermediaries_Contribution
2024-03-04,0.4076597625403777,0.8626155819081163,0.10650570372676535,0.1428735049993194,0.0401299876110941,0.035292890890114004,0.08285767531308491
2024-03-05,0.4529639943912293,0.8632581171556575,0.11474251193761596,0.14629670272046036,0.07565834380886552,0.019004228539667645,0.09726220738461978
2024-03-06,0.4681543514929956,0.8659866317475118,0.11726340267899851,0.1446908089804514,0.05125777571091192,0.048829775808816096,0.10611258831381767
2024-03-07,0.42697170731236533,0.8685546137342792,0.12004633342474826,0.14097101363101544,0.03454376085776002,0.04392378991574186,0.0874868094830998
2024-03-08,0.417197691452536,0.8694251825769144,0.12486137357257245,0.14391108421885793,0.025550085843122204,0.013903580282123034,0.1089715675358604
2024-03-11,0.4561083396905052,0.8699392575202146,0.12863899301233497,0.14842265837027133,0.06341613279119322,0.014815164925577903,0.10081539059112771
2024-03-12,0.4301493851426918,0.8722549123866333,0.13323852296165503,0.14428889672190107,0.03523438846504677,0.013495948280956217,0.10389162871313276
2024-03-13,0.39954770774946186,0.8738688225362973,0.13539068361621553,0.13629812787637785,0.037023725814621954,0.023321317486171177,0.06751385295607532
2024-03-14,0.4116726186638259,0.875145103252239,0.1329529892064409,0.13604280577036365,0.031988689132376756,0.043984447557018046,0.06670368699762654
2024-03-15,0.49152544515198476,0.8760670066284679,0.13191040079037164,0.12590620323715473,0.07759970474081862,0.05003497961014096,0.10607415677349884
2024-03-18,0.48453452839617156,0.8795603220462076,0.1265909248552486,0.13097502614893686,0.039182905312338846,0.06959760803730118,0.11818806404234608
2024-03-19,0.4883823569734808,0.8832154173999285,0.12234780548406074,0.12555783036557658,0.07080397738657787,0.06135733273525983,0.10831541100200577
2024-03-20,0.4507938875116637,0.8886684005603521,0.12365686985990364,0.11876596381320595,0.03672793597331466,0.0666270597304854,0.10501605813475398
2024-03-21,0.4242538860597159,0.8936056261494016,0.13037548335824606,0.11497168959492304,0.04101492074330587,0.05131504789829898,0.08657674446494204
2024-03-22,0.47379558141274497,0.8974530780890505,0.1330802695234854,0.12515882490899222,0.07846889841650889,0.029728715670862632,0.10735887289289578
2024-03-25,0.5327175644607696,0.9027045830999841,0.12748475939937473,0.1262661550815866,0.08099031773607335,0.08623969018192996,0.1117366420618049
2024-03-26,0.4833991075680752,0.9097387934103113,0.11780314386112756,0.11836995930873523,0.05630366779569528,0.07774818556351884,0.11317415103899825
2024-03-27,0.4900428155172629,0.9140252398665971,0.11902260132842295,0.11835820084253862,0.07033153714861355,0.04831140675930405,0.13401906943838374
2024-03-28,0.48712971120006104,0.9176563221550446,0.1191142681925032,0.11930485102161123,0.07451788618123002,0.08719164431691234,0.08700106148780434
2024-03-29,0.4980461154043204,0.9203961027333726,0.11555128641792811,0.11507340682149335,0.06298453081010306,0.06718987125872909,0.13724702009606682
2024-04-01,0.4830725268423966,0.924297324357695,0.1193044209944564,0.12669496034809527,0.05374937711737376,0.06833849376351807,0.11498527461895314
2024-04-02,0.45563503432749985,0.9278421189625338,0.1162933995418254,0.12698815293796675,0.04489869443785471,0.05742408129820043,0.11003070611165253
2024-04-03,0.5175939165467004,0.9302779799075633,0.12886716772551293,0.1245200743614589,0.08356079466459423,0.08636225483254016,0.09428362496259418
2024-04-04,0.4431769074680077,0.9336673854554611,0.1285610543212816,0.12138645551300492,0.04682880032969759,0.050706961847684966,0.09569363545633855
2024-04-05,0.47425070659893387,0.9349097859872533,0.126207966955704,0.12048006691694511,0.08562725142686994,0.052716096966882516,0.0892193243325323
2024-04-08,0.47247867082152234,0.9371719052546361,0.11629495605184739,0.12631870540192294,0.05780686518393083,0.0810658563943003,0.09099228778952075
2024-04-09,0.49348149733748553,0.9397324143484248,0.11339242632117029,0.1242242329663079,0.07026036742791962,0.06567392677637486,0.11993054384571279
2024-04-10,0.4631906979747852,0.942431105323723,0.11352233459766552,0.13710757825114603,0.06145864321321891,0.05793553627742929,0.09316660563532549
2024-04-11,0.46213735969077213,0.9442781187825449,0.10943036142900522,0.13286571660958968,0.05324434252325254,0.05726463357933606,0.10933230554958855
2024-04-12,0.5292410290549273,0.9450382180231686,0.11766363690651914,0.1358185767127794,0.07291416365433172,0.08508288006501426,0.1177617717162827
2024-04-15,0.4689361419509842,0.9455307887328261,0.11320841115357723,0.13873676058976986,0.05753697219080335,0.0832616935457359,0.07619230447109795
2024-04-16,0.5000600652014996,0.945157689478006,0.10786379031529894,0.13102653327654604,0.08126589479623979,0.08735102218436401,0.09255282462905087
2024-04-17,0.4898820645984731,0.9454036637441474,0.10887358910615365,0.12693737665848212,0.07628023330521315,0.08914086466040352,0.08865000086822068
2024-04-18,0.4132802656555631,0.9462408364867028,0.11437428179340833,0.13098016978575025,0.036847384598391854,0.04529771813295639,0.08578071134505623
2024-04-19,0.43689834074640027,0.9441945739200702,0.10991091561416397,0.13295200853952394,0.07892799916985013,0.05059235723185424,0.06451506019100793
2024-04-22,0.440981761040498,0.9422352693188363,0.10616046388483256,0.12122840069429267,0.04500812293734837,0.08952702714711687,0.07905774637690756
2024-04-23,0.4427946288665494,0.9406821698620935,0.10852522229665484,0.12278686267047266,0.0754108655382696,0.044543205551102256,0.09152847281005003
2024-04-24,0.4791032867739162,0.941200459329419,0.11386277623247906,0.12529792200003273,0.058446300589718864,0.04847719915133872,0.1330190888003468
2024-04-25,0.4693132290160376,0.938821436523565,0.11211263260665628,0.1159147131907081,0.1216665786896583,0.04172539717882512,0.07789390735018988
2024-04-26,0.48515369623241056,0.9336590916702863,0.1167316247529621,0.11217482544782155,0.08551270185391409,0.08793653127154202,0.08279801290617078
2024-04-29,0.5222962766088188,0.9300505073489135,0.12004701771907578,0.11328652597302967,0.08788639269859932,0.056112081492182636,0.1449642587259314
2024-04-30,0.5436927239125948,0.9278328781283515,0.12120599799433711,0.12226582786551175,0.10386332737511558,0.07544061719361363,0.12091695348401676
2024-05-01,0.5144775148406704,0.9290115259545573,0.1135458531722237,0.11537879387763765,0.10795056049253891,0.06405645412604632,0.11354585317222368
2024-05-02,0.5407450150603341,0.930552983386529,0.11296120847132428,0.11721295626665212,0.11044881204681233,0.057591856500350085,0.1425301817751953
2024-05-03,0.49676989930393173,0.9323512239908132,0.10950043970234785,0.11385722112286567,0.10727364030963875,0.06496445184816571,0.1011741463209138
2024-05-06,0.5002750699772708,0.9332911514686394,0.10311752701584968,0.11154912931883738,0.10137305757385223,0.06289781488090833,0.12133754118782311
2024-05-07,0.4842393427637143,0.9350761722106613,0.10331475049139603,0.12496812394964918,0.07680636056268257,0.0456371548223272,0.13351295293765936
2024-05-08,0.46756106119496005,0.9335710178949749,0.10314844891383733,0.12050143045103365,0.09733180705779387,0.05273755282812735,0.09384182194416779
2024-05-09,0.5739308816131177,0.932819306318029,0.10180613613086695,0.11459244437946299,0.1325126491218135,0.09860955906871793,0.12641009291225627
2024-05-10,0.5021221581896836,0.9354684432901244,0.10384379707966179,0.11724926386824301,0.0993753081501347,0.09179830518267577,0.08985548390896834
2024-05-13,0.5247346024072351,0.9361234200040152,0.10304162255495912,0.13123225514074982,0.1143178755892754,0.07776726230562953,0.09837558681662133
2024-05-14,0.548008213585273,0.9375233783667043,0.09608884469864354,0.13415443565828855,0.09939889608643875,0.08450366484136027,0.13386237230054193
2024-05-15,0.5151717024294852,0.9401371033534092,0.09635673115366719,0.11763917025346401,0.10231190906691308,0.07536716965616116,0.12349672229927963
2024-05-16,0.46342787933010704,0.9421174747622819,0.10125561644641348,0.1209197506548474,0.0788521998606853,0.06760157581108378,0.09479873655707699
