,MM1,MM2,MM3,BD1,BD2,BD3,EQ1,EQ2,EQ3,FX1,FX2,FX3,FI1,FI2,FI3
2025-11-05,2.61,-0.08300000000000018,0.11829045430188972,-0.3580000000000001,-0.15700000000000003,72.41999816894531,0.028463781274122413,27.766307210338994,30431.275771271845,0.006088173547935671,6.871806551892059,-2.681,-104.5,21.380827604691728,-0.02562747657396036
2025-11-06,2.61,-0.1419999999999999,0.11829045430188972,-0.3689999999999998,-0.2240000000000002,72.44000244140625,-0.005501428353338111,26.797537750699167,31080.948462974502,0.006468665229185433,7.117460484854421,-2.729,-90.70000000000005,24.160455022849895,-0.027005682577177836
2025-11-07,2.63,-0.17300000000000004,0.1310564362161749,-0.33199999999999985,-0.26400000000000023,74.41000366210938,0.01805310938612159,27.820347578038206,31351.791840131984,-0.0009675190048376026,6.991500883578568,-2.76,-88.40000000000003,24.008654471004746,-0.0030983671586520822
2025-11-10,2.64,-0.1549999999999998,0.12051206534922919,-0.36499999999999977,-0.2250000000000001,78.86000061035156,-0.03021933050403658,28.849052231826683,34918.17942726878,0.005810736026563346,5.7183559940055755,-2.757,-89.99999999999999,25.11991128226279,-0.0029408772466625877
2025-11-11,2.65,-0.10599999999999987,0.11968379391678645,-0.3700000000000001,-0.18100000000000005,78.86000061035156,-0.00813852033365392,28.444589993669233,35563.757456854524,-0.00020632737276471413,5.545595551699455,-2.743,-92.89999999999998,25.433956170439426,0.018966053202950084
2025-11-12,2.67,-0.16700000000000026,0.12720476654425716,-0.359,-0.2530000000000001,81.12000274658203,-0.010715007228991213,27.539711501632812,34699.52866132093,0.006535048496938867,5.8895564871405774,-2.797,-79.80000000000001,27.992470702895854,-0.033069199182267583
2025-11-13,2.68,-0.1509999999999998,0.12483673548405462,-0.33499999999999996,-0.2519999999999998,79.0999984741211,-0.00487658880901054,26.66683576184714,32762.5770947718,0.002186987424822373,5.702137784323843,-2.804,-84.30000000000004,28.140788306487043,0.00749831165545245
2025-11-14,2.71,-0.11799999999999988,0.14476114628478226,-0.3730000000000002,-0.23399999999999999,79.70999908447266,0.038138079600067876,30.822275117882036,37513.36044776981,0.0021140207310419434,5.365170708330451,-2.814,-82.29999999999995,29.921024028983982,-0.012227452487788448
2025-11-17,2.72,-0.08199999999999985,0.14081342639333616,-0.387,-0.19399999999999995,82.58000183105469,-0.019363972289381914,30.937783142100443,38187.122675681814,-0.007485539299081356,6.278204916017955,-2.806,-82.89999999999998,28.654973572353892,0.039024727879204635
2025-11-18,2.73,-0.02400000000000002,0.14081342639333613,-0.3959999999999999,-0.1419999999999999,83.18000030517578,0.03316742258666017,33.592426672698835,43146.77542393639,-0.00013712718546454727,6.293760921255849,-2.788,-85.20000000000003,30.69718976433696,-0.0032814611238209945
2025-11-19,2.73,-0.010000000000000231,0.14081342639333613,-0.4119999999999999,-0.13900000000000023,84.31999969482422,0.006098235719982692,33.29616235141476,42738.137751124785,0.004731536720839369,6.3984402583080415,-2.788,-84.89999999999998,30.65499435585921,-0.006908936976569691
2025-11-20,2.73,-0.008000000000000007,0.14081342639333613,-0.41700000000000026,-0.17799999999999994,77.80999755859375,-0.019172896290730934,33.65878171240703,44240.253339319956,-0.00013650013650012838,6.31631980162256,-2.792,-77.49999999999994,30.575415029421755,0.016337740357154518
2025-11-21,2.74,0.04900000000000038,0.14081342639333616,-0.399,-0.13199999999999967,78.80999755859375,0.03785162595207736,35.37640456397927,47242.768565281316,0.0023208191126280475,6.20916264334702,-2.774,-78.89999999999998,30.711158693302814,-0.030581835968232496
2025-11-24,2.74,0.026000000000000245,0.14081342639333616,-0.38500000000000023,-0.1639999999999997,76.81999969482422,0.0018685349946869767,33.954024729781686,45009.126633520194,0.0024516480523018025,6.201936186087301,-2.784,-75.1,30.44732980906716,0.0005724739556791647
2025-11-25,2.75,0.027000000000000135,0.13626599374984025,-0.36199999999999966,-0.15200000000000014,72.81999969482422,-0.0030472666896965706,33.932845344396775,44572.384536947044,0.0010190217391303769,6.0434853323168936,-2.782,-74.6,30.436276351577398,0.0034550970322740904
2025-11-26,2.75,0.016000000000000014,0.13626599374984025,-0.35599999999999987,-0.14500000000000002,71.9000015258789,-0.026722645435389047,34.763191975111916,47208.086867880105,0.0,6.064384253335612,-2.781,-74.9,31.998112991682582,-0.0026531195584909018
2025-11-27,2.76,-0.0820000000000003,0.13105643621617416,-0.3380000000000001,-0.2530000000000001,71.9000015258789,-0.0065742612485271135,34.86412255640523,48358.52625532299,-0.0073294876145232335,6.769769233569164,-2.846,-64.9,31.648909494114548,0.01053779672216959
2025-11-28,2.78,-0.05500000000000016,0.13105643621617416,-0.35299999999999976,-0.2110000000000003,68.94999694824219,0.015129467569744093,35.1341259224849,50868.18327381414,0.0014357011007040121,6.097096811694058,-2.841,-67.59999999999997,31.668974016311967,-0.013139813769505349
2025-12-01,2.79,-0.10099999999999998,0.1261577959290829,-0.3420000000000001,-0.2549999999999999,71.3499984741211,0.0015840641788168464,33.32316465446851,48189.71934159096,0.0007509557618787799,6.075164408659844,-2.863,-70.29999999999998,31.84483665498577,-0.013147062583920621
2025-12-02,2.8,-0.07000000000000028,0.1261577959290829,-0.3240000000000003,-0.22199999999999998,69.91000366210938,-0.01901856514165412,33.33496495614415,48370.57349475262,0.0021829592741660075,6.081810615973527,-2.848,-74.39999999999998,32.18300203274813,-0.003054749797250178
2025-12-03,2.8,-0.07900000000000018,0.13105643621617416,-0.32699999999999996,-0.2410000000000001,66.45999908447266,-0.010355655266902408,31.967121504363167,47755.37262466861,0.00034034442856167857,5.830135455756329,-2.853,-69.19999999999997,32.12554022469361,0.0053421573879977036
2025-12-04,2.81,-0.040000000000000036,0.1261577959290829,-0.351,-0.21499999999999986,65.69000244140625,0.0019299950371037822,31.924521342997885,47379.846955281835,-0.0006124115405551356,5.498379114662997,-2.845,-73.40000000000005,30.743842553703395,0.013035469276019729
2025-12-05,2.81,-0.016000000000000014,0.12510206359524764,-0.3639999999999999,-0.18400000000000016,67.27999877929688,-0.017758375863148768,31.73622598829103,46841.799954878166,0.0019064478790766781,5.473878352964934,-2.833,-78.19999999999996,30.432834183390096,0.0052924623454237985
2025-12-08,2.82,-0.027000000000000135,0.1251020635952476,-0.367,-0.21399999999999997,72.30000305175781,-0.013365762753929866,30.2797450364162,44080.53848949619,0.0004077471967378621,5.157010243369093,-2.849,-76.9,28.79272151509707,0.030295351057123443
2025-12-09,2.83,-0.052000000000000046,0.12510206359524764,-0.3689999999999998,-0.254,75.37999725341797,0.002719783554916866,30.193358263824656,43342.337999141564,-0.002105835201412831,5.240958971119921,-2.867,-72.69999999999999,28.5320253352913,-0.0019370046899461757
2025-12-10,2.83,-0.07099999999999973,0.12188001001848156,-0.2759999999999998,-0.2650000000000001,68.62000274658203,0.002063400970305218,29.966796400357953,42065.70751829427,0.0009530292716133371,4.7434402802774995,-2.877,-75.89999999999999,23.71797526435943,0.011254264521273316
2025-12-11,2.83,-0.07899999999999974,0.12483673548405405,-0.27700000000000014,-0.2709999999999999,69.23999786376953,0.00589598133313185,29.977553253906798,42037.03568111871,0.0,4.688177573510149,-2.877,-76.19999999999996,24.44782128525821,-0.019790383873822703
2025-12-12,2.83,-0.07899999999999974,0.09496813870146688,-0.31599999999999984,-0.2629999999999999,69.25,-0.01375462520267745,26.84382814802701,38881.897766116956,-0.0006120783460283885,4.635534146347112,-2.873,-78.10000000000005,22.76455455944287,0.016495423949740906
2025-12-15,2.83,-0.01100000000000012,0.09600986791388726,-0.3250000000000002,-0.16999999999999993,73.30999755859375,0.018374640159806055,26.95605654876711,38717.35442311646,0.0020415107179312386,3.7412553924259537,-2.83,-85.49999999999996,22.008272272540978,-0.007381314678848061
2025-12-16,2.82,-0.01100000000000012,0.10895194498396785,-0.31400000000000006,-0.17900000000000027,67.13999938964844,0.022358682515971173,25.412803158717757,36519.21025426209,0.001086587436332609,3.7396813004833764,-2.828,-83.70000000000002,19.11073195405014,-0.019182819078099045
2025-12-17,2.82,-0.016000000000000014,0.10895194498396785,-0.32799999999999985,-0.17600000000000016,62.7400016784668,-0.014323123023099127,25.72078096956798,37601.44990637929,-0.0011532460484362517,3.4362947470408223,-2.826,-83.60000000000002,19.140746225432274,0.010340645922342517
2025-12-18,2.83,0.027000000000000135,0.10925585616003966,-0.34499999999999975,-0.137,60.0099983215332,0.015259774945072357,25.524449683201112,36253.09502793372,0.004210812279271892,3.707660999024715,-2.801,-80.80000000000003,19.255162287821726,-0.010103091089459504
2025-12-19,2.83,-0.005999999999999783,0.10895194498396785,-0.3320000000000003,-0.17999999999999972,59.40999984741211,-0.006518957018217142,21.31006333627563,31062.085076731055,-0.0009468416069253749,3.6719593950890834,-2.825,-81.80000000000001,19.593257208753208,-0.007835109967428755
2025-12-22,2.83,0.007000000000000117,0.10895194498396785,-0.3599999999999999,-0.16900000000000004,61.70000076293945,-0.02123593187902517,22.279283188879294,34176.05285557312,0.00040617384240437815,3.5838155267321534,-2.818,-81.1,19.99870385686248,0.007084988482798815
2025-12-23,2.83,0.028000000000000025,0.10803508202139032,-0.4159999999999999,-0.133,61.16999816894531,-0.0027739508344981623,22.280016223563713,33990.040622141285,0.0007443497090269258,3.5767999305751403,-2.81,-80.09999999999997,20.178097582612875,0.008200307423645414
2025-12-24,2.82,0.04400000000000004,0.11829045430189015,-0.40600000000000014,-0.11900000000000022,59.47999954223633,0.002112953912415727,20.552910280616597,29755.940252669785,0.0030428020826289703,3.7162473413913233,-2.797,-80.50000000000001,17.828355576127144,-0.013024879087785934
2025-12-25,2.82,0.04400000000000004,0.11631174082022763,-0.40600000000000014,-0.11900000000000022,59.47999954223633,-0.0,20.552910280616597,28481.364593785118,0.0,3.7162473413913233,-2.797,-80.50000000000001,17.723986082137298,-0.0
2025-12-26,2.82,0.02499999999999991,0.09772140852551577,-0.4159999999999999,-0.13800000000000034,58.5,-0.005125822780658096,20.515734084652227,25856.483955643936,-0.015370095726034871,6.189447407534784,-2.803,-76.59999999999995,18.74879536616721,0.020931528254829246
